Ticket;Open Time;Type;Size;Item;Price;S / L;T / P;Close Time;Price;Commission;Taxes;Swap;Profit
175039818;2023.11.16 20:50:02;sell;0.05;usdjpy#;150.509;150.478;0.000;2023.11.17 04:35:46;150.478;0.00;0.00;0.00;0.95
175038190;2023.11.16 19:36:15;sell;0.05;eurgbp#;0.87377;0.87373;0.00000;2023.11.21 10:48:11;0.87374;0.00;0.00;0.00;0.17
175037872;2023.11.16 19:17:08;sell;0.05;audchf#;0.57458;0.57429;0.00000;2023.12.05 10:54:30;0.57431;0.00;0.00;0.00;1.43
175037581;2023.11.16 19:05:31;sell;0.01;gbpjpy#;187.115;187.070;186.899;2023.11.16 19:37:45;187.070;0.00;0.00;0.00;0.28
175037495;2023.11.16 19:02:20;sell;0.10;usdjpy#;150.612;150.597;0.000;2023.11.16 19:15:02;150.597;0.00;0.00;0.00;0.91
175034669;2023.11.16 17:50:04;sell;0.01;usdchf#;0.88731;0.88715;0.00000;2023.11.16 18:05:24;0.88716;0.00;0.00;0.00;0.15
175034641;2023.11.16 17:48:57;buy;0.10;nzdusd#;0.59979;0.60243;0.00000;2023.11.20 08:26:54;0.60243;0.00;0.00;0.00;24.18
175034593;2023.11.16 17:47:07;buy;0.10;eurusd#;108.757;108.766;0.00000;2023.11.16 17:50:25;108.765;0.00;0.00;0.00;0.74
175033016;2023.11.16 17:11:51;sell;0.10;eurusd#;108.843;108.754;108.567;2023.11.16 17:47:03;108.755;0.00;0.00;0.00;8.09
175032925;2023.11.16 17:09:37;sell;0.10;eurusd#;108.865;108.848;108.581;2023.11.16 17:11:40;108.848;0.00;0.00;0.00;1.56
175031164;2023.11.16 16:29:56;buy;0.10;eurusd#;108.640;108.644;0.00000;2023.11.16 16:32:02;108.643;0.00;0.00;0.00;0.28
175025591;2023.11.16 12:22:13;buy;0.10;audchf#;0.57717;0.57729;0.00000;2023.11.16 15:53:42;0.57729;0.00;0.00;0.00;1.24
175025480;2023.11.16 12:02:45;sell;0.10;usdjpy#;151.296;151.250;0.000;2023.11.16 12:11:47;151.250;0.00;0.00;0.00;2.80
175025150;2023.11.16 11:40:31;buy;0.10;audusd#;0.64949;0.64957;0.00000;2023.11.16 15:38:53;0.64955;0.00;0.00;0.00;0.56
175024288;2023.11.16 10:52:38;buy;0.10;eurgbp#;0.87579;0.87591;0.00000;2023.11.17 11:01:55;0.87590;0.00;0.00;0.00;1.26
175023358;2023.11.16 09:48:10;buy;0.10;usdjpy#;151.357;151.389;0.000;2023.11.16 10:09:00;151.391;0.00;0.00;0.00;2.07
175014784;2023.11.15 20:40:49;buy;0.05;eurgbp#;0.87359;0.00000;0.00000;2023.11.15 23:10:46;0.87380;0.00;0.00;0.00;1.20
175012156;2023.11.15 17:48:58;sell;0.01;gbpusd#;124.362;124.196;0.00000;2023.11.15 19:21:47;124.196;0.00;0.00;0.00;1.54
175005609;2023.11.15 14:32:49;buy;0.01;audchf#;0.57913;0.57928;0.00000;2023.11.20 09:23:53;0.57928;0.00;0.00;0.00;0.16
175005608;2023.11.15 14:32:44;buy;0.01;audusd#;0.65201;0.65252;0.00000;2023.11.15 15:11:22;0.65251;0.00;0.00;0.00;0.46
175005471;2023.11.15 14:21:54;sell;0.01;usdjpy#;150.412;150.397;0.000;2023.11.15 15:03:56;150.397;0.00;0.00;0.00;0.09
175002452;2023.11.15 11:08:09;sell;0.01;usdchf#;0.88837;0.00000;0.00000;2023.11.15 13:15:21;0.88832;0.00;0.00;0.00;0.05
174993102;2023.11.14 21:10:07;buy;0.01;audusd#;0.64986;0.65025;0.00000;2023.11.14 21:38:32;0.65025;0.00;0.00;0.00;0.36
